draft_year,player,player_id,rookie_season
2000,Kenyon Martin,martike01,2001
2000,Stromile Swift,swiftst01,2001
2000,Darius Miles,milesda01,2001
2000,Marcus Fizer,fizerma01,2001
2000,Mike Miller,millemi01,2001
2000,DerMarr Johnson,johnsde03,2001
2000,Chris Mihm,mihmch01,2001
2000,Jamal Crawford,crawfja01,2001
2000,Joel Przybilla,przybjo01,2001
2000,Keyon Dooling,doolike01,2001
2000,Jérôme Moïso,moisoje01,2001
2000,Etan Thomas,thomaet01,2001
2000,Courtney Alexander,alexaco02,2001
2000,Mateen Cleaves,cleavma01,2001
2000,Jason Collier,collija02,2001
2000,Hedo Türkoğlu,turkohe01,2001
2000,Desmond Mason,masonde01,2001
2000,Quentin Richardson,richaqu01,2001
2000,Jamaal Magloire,magloja01,2001
2000,Speedy Claxton,claxtsp01,2001
2000,Morris Peterson,petermo01,2001
2000,Donnell Harvey,harvedo01,2001
2000,DeShawn Stevenson,stevede01,2001
2000,Dalibor Bagarić,bagarda01,2001
2000,Jake Tsakalidis,tsakaja01,2001
2000,Mamadou N'Diaye,ndiayma02,2001
2000,Primož Brezec,brezepr01,2001
2000,Erick Barkley,barkler01,2001
2000,Mark Madsen,madsema01,2001
2000,Marko Jarić,jaricma01,2001
2000,Dan Langhi,langhda01,2001
2000,A.J. Guyton,guytoaj01,2001
2000,Jake Voskuhl,voskuja01,2001
2000,Khalid El-Amin,elamikh01,2001
2000,Mike Smith,smithmi03,2001
2000,Soumaila Samake,samakso01,2001
2000,Eddie House,houseed01,2001
2000,Eduardo Nájera,najered01,2001
2000,Lavor Postell,postela01,2001
2000,Hanno Möttölä,mottoha01,2001
2000,Chris Carrawell,carrach01,2001
2000,Olumide Oyedeji,oyedeol01,2001
2000,Michael Redd,reddmi01,2001
2000,Brian Cardinal,cardibr01,2001
2000,Jabari Smith,smithja01,2001
2000,DeeAndre Hulett,huletde01,2001
2000,Josip Sesar,sesarjo01,2001
2000,Mark Karcher,karchma01,2001
2000,Jason Hart,hartja01,2001
2000,Kaniel Dickens,dickeka01,2001
2000,Igor Rakočević,rakocig01,2001
2000,Ernest Brown,browner01,2001
2000,Dan McClintock,mcclida01,2001
2000,Cory Hightower,hightco01,2001
2000,Chris Porter,portech01,2001
2000,Jaquay Walls,wallsja01,2001
2000,Scoonie Penn,pennsc01,2001
2000,Pete Mickeal,mickepe01,2001
2001,Kwame Brown,brownkw01,2002
2001,Tyson Chandler,chandty01,2002
2001,Pau Gasol,gasolpa01,2002
2001,Eddy Curry,curryed01,2002
2001,Jason Richardson,richaja01,2002
2001,Shane Battier,battish01,2002
2001,Eddie Griffin,griffed01,2002
2001,DeSagana Diop,diopde01,2002
2001,Rodney White,whitero02,2002
2001,Joe Johnson,johnsjo02,2002
2001,Kedrick Brown,brownke01,2002
2001,Vladimir Radmanović,radmavl01,2002
2001,Richard Jefferson,jefferi01,2002
2001,Troy Murphy,murphtr01,2002
2001,Steven Hunter,huntest01,2002
2001,Kirk Haston,hastoki01,2002
2001,Michael Bradley,bradlmi01,2002
2001,Jason Collins,collija04,2002
2001,Zach Randolph,randoza01,2002
2001,Brendan Haywood,haywobr01,2002
2001,Joseph Forte,fortejo01,2002
2001,Jeryl Sasser,sasseje01,2002
2001,Brandon Armstrong,armstbr01,2002
2001,Raül López,lopezra01,2002
2001,Gerald Wallace,wallage01,2002
2001,Samuel Dalembert,dalemsa01,2002
2001,Jamaal Tinsley,tinslja01,2002
2001,Tony Parker,parketo01,2002
2001,Trenton Hassell,hassetr01,2002
2001,Gilbert Arenas,arenagi01,2002
2001,Omar Cook,cookom01,2002
2001,Will Solomon,solomwi01,2002
2001,Terence Morris,morrite01,2002
2001,Brian Scalabrine,scalabr01,2002
2001,Jeff Trepagnier,trepaje01,2002
2001,Damone Brown,brownda02,2002
2001,Mehmet Okur,okurme01,2002
2001,Michael Wright,wrighmi01,2002
2001,Earl Watson,watsoea01,2002
2001,Jamison Brewer,breweja01,2002
2001,Bobby Simmons,simmobo01,2002
2001,Eric Chenowith,chenoer01,2002
2001,Kyle Hill,hillky01,2002
2001,Sean Lampley,lamplse01,2002
2001,Loren Woods,woodslo01,2002
2001,Ousmane Cisse,cisseou01,2002
2001,Antonis Fotsis,fotsian01,2002
2001,Ken Johnson,johnske03,2002
2001,Ruben Boumtje-Boumtje,boumtru01,2002
2001,Alton Ford,fordal02,2002
2001,Andre Hutson,hutsoan01,2002
2001,Jarron Collins,collija03,2002
2001,Kenny Satterfield,satteke01,2002
2001,Maurice Jeffers,jeffema01,2002
2001,Robertas Javtokas,javtoro01,2002
2001,Alvin Jones,jonesal01,2002
2001,Bryan Bracey,bracebr01,2002
2002,Yao Ming,mingya01,2003
2002,Jay Williams,willija03,2003
2002,Mike Dunleavy,dunlemi02,2003
2002,Drew Gooden,goodedr01,2003
2002,Nikoloz Tskitishvili,tskitni01,2003
2002,Dajuan Wagner,wagneda02,2003
2002,Nenê,hilarne01,2003
2002,Chris Wilcox,wilcoch01,2003
2002,Amar'e Stoudemire,stoudam01,2003
2002,Caron Butler,butleca01,2003
